Order,ID,ComparisonStim,StandardPos,DurationFixCrossSecs,Repetition,Response,BrightnessJudgement
1,1,0.45,left,0.797570695745598,1,,darker
2,4,0.4875,right,1.84623766182381,1,,darker
3,2,0.4625,right,0.920701143354492,1,,darker
4,8,0.5375,right,0.966554781453152,1,,brighter
5,1,0.45,left,1.32508722489811,2,,darker
6,7,0.525,left,1.46788762217891,1,,brighter
7,9,0.55,left,1.74041736756385,1,,brighter
8,4,0.4875,left,1.32981356602613,2,,brighter
9,8,0.5375,right,1.14036245472177,2,,brighter
10,5,0.5,right,1.78076782406897,1,,darker
11,9,0.55,left,1.00169006890204,2,,brighter
12,7,0.525,right,1.73732277166858,2,,brighter
13,7,0.525,left,0.670761407485806,3,,brighter
14,2,0.4625,right,1.40156976005519,2,,darker
15,6,0.5125,left,1.89847560183175,1,,brighter
16,1,0.45,right,1.70222280740956,3,,darker
17,5,0.5,right,1.34629345992559,2,,darker
18,9,0.55,right,1.46283675553431,3,,brighter
19,3,0.475,right,1.8933195722656,1,,darker
20,3,0.475,left,1.0493035103973,2,,darker
21,7,0.525,right,1.72818564249591,4,,brighter
22,2,0.4625,right,1.03655523417634,3,,darker
23,5,0.5,right,1.88600288606234,3,,darker
24,3,0.475,left,0.512558701012103,3,,darker
25,5,0.5,right,1.3565795591323,4,,darker
26,8,0.5375,left,0.97103892341836,3,,brighter
27,1,0.45,left,1.03219797566129,4,,darker
28,3,0.475,right,1.88998451158674,4,,darker
29,5,0.5,right,0.82993231533911,5,,darker
30,8,0.5375,right,1.91107968017568,4,,brighter
31,7,0.525,right,1.59202409305018,5,,brighter
32,3,0.475,left,1.22110386653207,5,,darker
33,3,0.475,left,1.00176729375562,6,,darker
34,4,0.4875,right,1.55096078792036,3,,darker
35,5,0.5,left,0.607045752883307,6,,darker
36,3,0.475,left,0.951779230905283,7,,darker
37,2,0.4625,left,0.537723582381752,4,,darker
38,7,0.525,left,1.60155793129938,6,,brighter
39,5,0.5,left,1.07243806148681,7,,darker
40,2,0.4625,left,0.949358359494237,5,,darker
41,1,0.45,left,0.59306085772332,5,,darker
42,6,0.5125,left,0.537270836346312,2,,brighter
43,2,0.4625,left,0.738363340080779,6,,darker
44,6,0.5125,right,0.942137446992622,3,,brighter
45,8,0.5375,right,0.974184133768716,5,,brighter
46,3,0.475,right,1.11294135295278,8,,darker
47,8,0.5375,left,1.54812648870493,6,,brighter
48,4,0.4875,left,1.85010637741825,4,,darker
49,6,0.5125,right,0.665363973589701,4,,brighter
50,1,0.45,right,1.92936348362152,6,,darker
51,3,0.475,left,1.92887402599221,9,,darker
52,4,0.4875,right,1.25430320620688,5,,darker
53,1,0.45,left,0.677750047232494,7,,darker
54,8,0.5375,left,0.737242860150949,7,,brighter
55,4,0.4875,left,1.85699297210819,6,,brighter
56,3,0.475,right,1.35412846804637,10,,darker
57,6,0.5125,right,0.910444479227852,5,,brighter
58,1,0.45,right,1.51893792038386,8,,darker
59,9,0.55,right,1.60965484299664,4,,brighter
60,9,0.55,left,1.15071065692913,5,,brighter
61,5,0.5,right,1.7941839781966,8,,darker
62,8,0.5375,right,1.37629846354152,8,,brighter
63,2,0.4625,right,0.752218738073069,7,,darker
64,8,0.5375,left,0.649577065811159,9,,brighter
65,5,0.5,left,1.09328322765934,9,,brighter
66,6,0.5125,right,1.14305283987942,6,,darker
67,2,0.4625,right,1.3707911414917,8,,darker
68,6,0.5125,left,1.90849703730973,7,,brighter
69,7,0.525,right,1.12103303360628,7,,brighter
70,2,0.4625,left,1.64746434454718,9,,darker
71,9,0.55,left,0.63198556152947,6,,brighter
72,9,0.55,right,1.96360143696198,7,,brighter
